Ref n°,Reference
1,"Garai, D.; Kumar, V. A Box–Behnken Design Approach for the Production of Xylanase by Aspergillus Candidus under Solid State Fermentation and Its Application in Saccharification of Agro Residues and Parthenium Hysterophorus L. Industrial Crops and Products 2013, 44, 352–363. https://doi.org/10.1016/j.indcrop.2012.10.027."
2,"Ravikumar, G.; Gomathi, D.; Kalaiselvi, M.; Uma, C. A Protease from the Medicinal Mushroom Pleurotus Sajor-Caju; Production, Purification and Partial Characterization. Asian Pacific Journal of Tropical Biomedicine 2012, 2 (1, Supplement), S411–S417. https://doi.org/10.1016/S2221-1691(12)60198-1."
3,"Pensupa, N.; Jin, M.; Kokolski, M.; Archer, D. B.; Du, C. A Solid State Fungal Fermentation-Based Strategy for the Hydrolysis of Wheat Straw. Bioresource Technology 2013, 149, 261–267. https://doi.org/10.1016/j.biortech.2013.09.061."
4,"de Castro, R. J. S.; Ohara, A.; Nishide, T. G.; Bagagli, M. P.; Gonçalves Dias, F. F.; Sato, H. H. A Versatile System Based on Substrate Formulation Using Agroindustrial Wastes for Protease Production by Aspergillus Niger under Solid State Fermentation. Biocatalysis and Agricultural Biotechnology 2015, 4 (4), 678–684. https://doi.org/10.1016/j.bcab.2015.08.010."
5,"Lin, H.; Wang, B.; Zhuang, R.; Zhou, Q.; Zhao, Y. Artificial Construction and Characterization of a Fungal Consortium That Produces Cellulolytic Enzyme System with Strong Wheat Straw Saccharification. Bioresource Technology 2011, 102 (22), 10569–10576. https://doi.org/10.1016/j.biortech.2011.08.095."
6,"Ruqayyah, T. I. D.; Jamal, P.; Alam, Md. Z.; Mirghani, Md. E. S. Biodegradation Potential and Ligninolytic Enzyme Activity of Two Locally Isolated Panus Tigrinus Strains on Selected Agro-Industrial Wastes. Journal of Environmental Management 2013, 118, 115–121. https://doi.org/10.1016/j.jenvman.2013.01.003."
7,"Khanahmadi, M.; Arezi, I.; Amiri, M.; Miranzadeh, M. Bioprocessing of Agro-Industrial Residues for Optimization of Xylanase Production by Solid- State Fermentation in Flask and Tray Bioreactor. Biocatalysis and Agricultural Biotechnology 2018, 13, 272–282. https://doi.org/10.1016/j.bcab.2018.01.005."
8,"Raghuwanshi, S.; Deswal, D.; Karp, M.; Kuhad, R. C. Bioprocessing of Enhanced Cellulase Production from a Mutant of Trichoderma Asperellum RCK2011 and Its Application in Hydrolysis of Cellulose. Fuel 2014, 124, 183–189. https://doi.org/10.1016/j.fuel.2014.01.107."
9,"Idris, A. S. O.; Pandey, A.; Rao, S. S.; Sukumaran, R. K. Cellulase Production through Solid-State Tray Fermentation, and Its Use for Bioethanol from Sorghum Stover. Bioresource Technology 2017, 242, 265–271. https://doi.org/10.1016/j.biortech.2017.03.092."
10,"Marques, N. P.; de Cassia Pereira, J.; Gomes, E.; da Silva, R.; Araújo, A. R.; Ferreira, H.; Rodrigues, A.; Dussán, K. J.; Bocchini, D. A. Cellulases and Xylanases Production by Endophytic Fungi by Solid State Fermentation Using Lignocellulosic Substrates and Enzymatic Saccharification of Pretreated Sugarcane Bagasse. Industrial Crops and Products 2018, 122, 66–75. https://doi.org/10.1016/j.indcrop.2018.05.022."
11,"Yoshizaki, Y.; Susuki, T.; Takamine, K.; Tamaki, H.; Ito, K.; Sameshima, Y. Characterization of Glucoamylase and α-Amylase from Monascus Anka: Enhanced Production of α-Amylase in Red Koji. Journal of Bioscience and Bioengineering 2010, 110 (6), 670–674. https://doi.org/10.1016/j.jbiosc.2010.07.005."
12,"Dwivedi, P.; Vivekanand, V.; Pareek, N.; Sharma, A.; Singh, R. P. Co-Cultivation of Mutant Penicillium Oxalicum SAUE-3.510 and Pleurotus Ostreatus for Simultaneous Biosynthesis of Xylanase and Laccase under Solid-State Fermentation. New Biotechnology 2011, 28 (6), 616–626. https://doi.org/10.1016/j.nbt.2011.05.006."
13,"Kolasa, M.; Ahring, B. K.; Lübeck, P. S.; Lübeck, M. Co-Cultivation of Trichoderma Reesei RutC30 with Three Black Aspergillus Strains Facilitates Efficient Hydrolysis of Pretreated Wheat Straw and Shows Promises for on-Site Enzyme Production. Bioresource Technology 2014, 169, 143–148. https://doi.org/10.1016/j.biortech.2014.06.082."
14,"Tiwari, R.; Nain, P. K. S.; Singh, S.; Adak, A.; Saritha, M.; Rana, S.; Sharma, A.; Nain, L. Cold Active Holocellulase Cocktail from Aspergillus Niger SH3: Process Optimization for Production and Biomass Hydrolysis. Journal of the Taiwan Institute of Chemical Engineers 2015, 56, 57–66. https://doi.org/10.1016/j.jtice.2015.04.026."
15,"Hemansi; Gupta, R.; Kuhad, R. C.; Saini, J. K. Cost Effective Production of Complete Cellulase System by Newly Isolated Aspergillus Niger RCKH-3 for Efficient Enzymatic Saccharification: Medium Engineering by Overall Evaluation Criteria Approach (OEC). Biochemical Engineering Journal 2018, 132, 182–190. https://doi.org/10.1016/j.bej.2018.01.019."
16,"Ćilerdžić, J.; Stajić, M.; Vukojević, J. Degradation of Wheat Straw and Oak Sawdust by Ganoderma Applanatum. International Biodeterioration & Biodegradation 2016, 114, 39–44. https://doi.org/10.1016/j.ibiod.2016.05.024."
